source_enum	members	decision	current_enums	member_reuse	reason
include/kf/game_effect.h:KfEffectKind	KF_EFFECT_KIND_LIGHTNING_BOLT=4;KF_EFFECT_KIND_FIRE_BALL=5;KF_EFFECT_KIND_GROUND_BRANCH=6;KF_EFFECT_KIND_WIND_CUTTER=7;KF_EFFECT_KIND_LIGHT_NEEDLE=8;KF_EFFECT_KIND_ACTOR_SPAWNER=9;KF_EFFECT_KIND_SCATTER_PROJECTILE=10;KF_EFFECT_KIND_DARKNESS_PROJECTILE=11;KF_EFFECT_KIND_CURSE_PROJECTILE=12;KF_EFFECT_KIND_EMERGING_PROJECTILE=13;KF_EFFECT_KIND_MAP_EMITTER_PROJECTILE=14;KF_EFFECT_KIND_SWINGING_HAZARD_SHORT=15;KF_EFFECT_KIND_SWINGING_HAZARD_LONG=16;KF_EFFECT_KIND_ORBITING_PROJECTILE=17;KF_EFFECT_KIND_RADIAL_BLAST=18;KF_EFFECT_KIND_GROUND_TRAIL=19;KF_EFFECT_KIND_HOMING_PROJECTILE=20;KF_EFFECT_KIND_WARP_SHIMMER=21;KF_EFFECT_KIND_PHYSICAL_PROJECTILE=22;KF_EFFECT_KIND_LIGHTNING_IMPACT=32;KF_EFFECT_KIND_LIGHTNING_RADIAL_BLAST=33;KF_EFFECT_KIND_GROUND_BRANCH_VISUAL=34;KF_EFFECT_KIND_MOONLIGHT_PROJECTILE=36;KF_EFFECT_KIND_LIGHTNING_BOLT_ALTERNATE=23;KF_EFFECT_KIND_HOMING_PROJECTILE_ALTERNATE=24;KF_EFFECT_KIND_LIGHTNING_IMPACT_ALTERNATE=41;KF_EFFECT_KIND_LIGHTNING_RADIAL_BLAST_ALTERNATE=42;KF_EFFECT_KIND_RADIAL_BLAST_ALTERNATE=44;KF_EFFECT_KIND_MAP_SWITCH=48;KF_EFFECT_KIND_FLOOR_DEFORMATION=52	reuse	include/kf/magic.h:KfEffectKind	KF_EFFECT_KIND_LIGHTNING_BOLT=include/kf/magic.h:KF_MAGIC_LIGHTNING_BOLT;KF_EFFECT_KIND_FIRE_BALL=include/kf/magic.h:KF_MAGIC_FIRE_BALL;KF_EFFECT_KIND_GROUND_BRANCH=include/kf/magic.h:KF_MAGIC_FIRE_WALL;KF_EFFECT_KIND_WIND_CUTTER=include/kf/magic.h:KF_MAGIC_WIND_CUTTER;KF_EFFECT_KIND_LIGHT_NEEDLE=include/kf/magic.h:KF_MAGIC_LIGHT_NEEDLE;KF_EFFECT_KIND_ACTOR_SPAWNER=include/kf/magic.h:KF_EFFECT_KIND_ACTOR_SPAWNER;KF_EFFECT_KIND_SCATTER_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_SCATTER_PROJECTILE;KF_EFFECT_KIND_DARKNESS_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_DARKNESS_PROJECTILE;KF_EFFECT_KIND_CURSE_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_CURSE_PROJECTILE;KF_EFFECT_KIND_EMERGING_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_EMERGING_PROJECTILE;KF_EFFECT_KIND_MAP_EMITTER_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_MAP_EMITTER_PROJECTILE;KF_EFFECT_KIND_SWINGING_HAZARD_SHORT=include/kf/magic.h:KF_EFFECT_KIND_SWINGING_HAZARD_SHORT;KF_EFFECT_KIND_SWINGING_HAZARD_LONG=include/kf/magic.h:KF_EFFECT_KIND_SWINGING_HAZARD_LONG;KF_EFFECT_KIND_ORBITING_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_ORBITING_PROJECTILE;KF_EFFECT_KIND_RADIAL_BLAST=include/kf/magic.h:KF_EFFECT_KIND_RADIAL_BLAST;KF_EFFECT_KIND_GROUND_TRAIL=include/kf/magic.h:KF_EFFECT_KIND_GROUND_TRAIL;KF_EFFECT_KIND_HOMING_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_HOMING_PROJECTILE;KF_EFFECT_KIND_WARP_SHIMMER=include/kf/magic.h:KF_EFFECT_KIND_WARP_SHIMMER;KF_EFFECT_KIND_PHYSICAL_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_PHYSICAL_PROJECTILE;KF_EFFECT_KIND_LIGHTNING_IMPACT=include/kf/magic.h:KF_EFFECT_KIND_LIGHTNING_IMPACT;KF_EFFECT_KIND_LIGHTNING_RADIAL_BLAST=include/kf/magic.h:KF_EFFECT_KIND_LIGHTNING_RADIAL_BLAST;KF_EFFECT_KIND_GROUND_BRANCH_VISUAL=include/kf/magic.h:KF_EFFECT_KIND_GROUND_BRANCH_VISUAL;KF_EFFECT_KIND_MOONLIGHT_PROJECTILE=include/kf/magic.h:KF_EFFECT_KIND_MOONLIGHT_PROJECTILE;KF_EFFECT_KIND_LIGHTNING_BOLT_ALTERNATE=include/kf/magic.h:KF_EFFECT_KIND_LIGHTNING_BOLT_ALTERNATE;KF_EFFECT_KIND_HOMING_PROJECTILE_ALTERNATE=include/kf/magic.h:KF_EFFECT_KIND_HOMING_PROJECTILE_ALTERNATE;KF_EFFECT_KIND_LIGHTNING_IMPACT_ALTERNATE=include/kf/magic.h:KF_EFFECT_KIND_LIGHTNING_IMPACT_ALTERNATE;KF_EFFECT_KIND_LIGHTNING_RADIAL_BLAST_ALTERNATE=include/kf/magic.h:KF_EFFECT_KIND_LIGHTNING_RADIAL_BLAST_ALTERNATE;KF_EFFECT_KIND_RADIAL_BLAST_ALTERNATE=include/kf/magic.h:KF_EFFECT_KIND_RADIAL_BLAST_ALTERNATE;KF_EFFECT_KIND_MAP_SWITCH=include/kf/magic.h:KF_EFFECT_KIND_MAP_SWITCH;KF_EFFECT_KIND_FLOOR_DEFORMATION=include/kf/magic.h:KF_EFFECT_KIND_FLOOR_DEFORMATION	Merge the effect-kind and spell-ID declarations: magic_cast transports the ID directly and effect construction indexes the same magic-record table.
include/kf/game_effect.h:KfEffectBillboardId	KF_EFFECT_BILLBOARD_FIRE_BALL=0;KF_EFFECT_BILLBOARD_FIRE_BALL_FRAME_1=1;KF_EFFECT_BILLBOARD_FIRE_BALL_FRAME_2=2;KF_EFFECT_BILLBOARD_FIRE_BALL_FRAME_3=3;KF_EFFECT_BILLBOARD_FIRE_BALL_FRAME_4=4;KF_EFFECT_BILLBOARD_WIND_CUTTER=5;KF_EFFECT_BILLBOARD_LIGHTNING_BOLT=6;KF_EFFECT_BILLBOARD_LIGHTNING_BOLT_FRAME_1=7;KF_EFFECT_BILLBOARD_DARKNESS_PROJECTILE=8;KF_EFFECT_BILLBOARD_SCATTER_PROJECTILE=9;KF_EFFECT_BILLBOARD_CURSE_PROJECTILE=10;KF_EFFECT_BILLBOARD_LIGHTNING_IMPACT=11;KF_EFFECT_BILLBOARD_LIGHTNING_IMPACT_FRAME_1=12;KF_EFFECT_BILLBOARD_LIGHTNING_IMPACT_FRAME_2=13;KF_EFFECT_BILLBOARD_GROUND_TRAIL=14;KF_EFFECT_BILLBOARD_GROUND_TRAIL_FRAME_1=15;KF_EFFECT_BILLBOARD_GROUND_TRAIL_FRAME_2=16;KF_EFFECT_BILLBOARD_LIGHTNING_BOLT_ALTERNATE=17;KF_EFFECT_BILLBOARD_LIGHTNING_ALTERNATE_FRAME_1=18;KF_EFFECT_BILLBOARD_LIGHTNING_IMPACT_ALTERNATE=19;KF_EFFECT_BILLBOARD_IMPACT_ALTERNATE_FRAME_1=20;KF_EFFECT_BILLBOARD_IMPACT_ALTERNATE_FRAME_2=21;KF_EFFECT_BILLBOARD_NONE=255	retain	include/kf/game_effect.h:KfEffectBillboardId		Billboard IDs index sprite artwork and animation frames; effect-kind IDs and model IDs address different tables with different orders.
include/kf/game_effect.h:KF_EFFECT_BILLBOARD_SPRITE_COUNT	KF_EFFECT_BILLBOARD_SPRITE_COUNT=22	retain	include/kf/game_effect.h:KF_EFFECT_BILLBOARD_SPRITE_COUNT		Billboard count bounds the sprite resource table, not the effect dispatcher namespace.
include/kf/game_effect.h:KfEffectModelId	KF_EFFECT_MODEL_LIGHTNING_RADIAL_BLAST=0;KF_EFFECT_MODEL_GROUND_BRANCH=1;KF_EFFECT_MODEL_GROUND_BRANCH_VISUAL=2;KF_EFFECT_MODEL_ACTOR_SPAWNER=3;KF_EFFECT_MODEL_MAP_EMITTER_PROJECTILE=4;KF_EFFECT_MODEL_MAP_SWITCH=5;KF_EFFECT_MODEL_LIGHT_NEEDLE=6;KF_EFFECT_MODEL_SWINGING_HAZARD=7;KF_EFFECT_MODEL_EMERGING_PROJECTILE=9;KF_EFFECT_MODEL_MOONLIGHT_PROJECTILE=10;KF_EFFECT_MODEL_RADIAL_BLAST=11;KF_EFFECT_MODEL_HOMING_PROJECTILE=12;KF_EFFECT_MODEL_WARP_SHIMMER=13;KF_EFFECT_MODEL_PHYSICAL_PROJECTILE=14;KF_EFFECT_MODEL_LIGHTNING_RADIAL_BLAST_ALTERNATE=15;KF_EFFECT_MODEL_HOMING_PROJECTILE_ALTERNATE=16;KF_EFFECT_MODEL_RADIAL_BLAST_ALTERNATE=17;KF_EFFECT_MODEL_NONE=255	retain	include/kf/game_effect.h:KfEffectModelId		Effect model IDs index TMD resources; dispatch kinds and billboard frame IDs retain their different encodings.
include/kf/game_effect.h:KfEffectType	KF_EFFECT_TYPE_NONE=0;KF_EFFECT_COLLISION_TARGET_ACTORS=1;KF_EFFECT_COLLISION_TARGET_PLAYER=2;KF_EFFECT_COLLISION_TARGET_ACTORS_AND_PLAYER=3;KF_EFFECT_COLLISION_TARGETS_MASK=3;KF_EFFECT_USE_PLAYER_MAGIC=16;KF_EFFECT_CLASS_20=32;KF_ACTOR_DAMAGE_CREDIT_PLAYER=16;KF_ACTOR_DAMAGE_CREDIT_MASK=240;KF_EFFECT_FLOOR_DEFORM_TYPE=240;KF_EFFECT_SLOT_FREE=255	retain	include/kf/game_effect.h:KfEffectType		Packed effect type flags select targets, power and damage credit; kind IDs select behavior and cannot replace those flags.
include/kf/game_effect.h:KfEffectHomingMode	KF_EFFECT_HOMING_WANDER=255;KF_EFFECT_HOMING_PLAYER=254	retain	include/kf/game_effect.h:KfEffectHomingMode		Homing wander/player values occupy the homing target/control field, independent of effect kind and ordinary actor slot indices.
include/kf/game_effect.h:KfEffectGroundBranchRole	KF_EFFECT_GROUND_BRANCH_ROOT=0;KF_EFFECT_GROUND_BRANCH_QUARTER_TURN=1;KF_EFFECT_GROUND_BRANCH_THREE_QUARTER_TURN=2;KF_EFFECT_GROUND_BRANCH_LEAF=255	retain	include/kf/game_effect.h:KfEffectGroundBranchRole		Ground-branch role selects root/side/leaf behavior; its 0/1/2/255 values differ from angle, map-orientation and opening transition encodings.
include/kf/game_effect.h:KF_EFFECT_GROUND_BRANCH_TIMER_DONE	KF_EFFECT_GROUND_BRANCH_TIMER_DONE=255	retain	include/kf/game_effect.h:KF_EFFECT_GROUND_BRANCH_TIMER_DONE		The completed ground-branch timer is a timer sentinel, distinct from absent effect kind or released pool slot.
include/kf/game_effect.h:KfEffectPhase	KF_EFFECT_PHASE_INIT=0;KF_EFFECT_FLOOR_DEFORM_ADVANCE=0;KF_EFFECT_FLOOR_DEFORM_HOLD=1;KF_EFFECT_FLOOR_DEFORM_REVERSE=2;KF_EFFECT_PROJECTILE_TRAVEL=0;KF_EFFECT_PROJECTILE_IMPACT_FIRST=1;KF_EFFECT_PROJECTILE_DISSIPATE_FIRST=50;KF_EFFECT_PROJECTILE_DISSIPATE_END=60;KF_EFFECT_PROJECTILE_EMERGE_FIRST=100;KF_EFFECT_PROJECTILE_EMERGE_LAST=119;KF_EFFECT_PROJECTILE_FALL=120;KF_EFFECT_PROJECTILE_SHRINK=121;KF_EFFECT_PROJECTILE_LAUNCH_WRAP=255;KF_EFFECT_GROUND_TRAIL_WAIT_FOR_PARENT=0;KF_EFFECT_GROUND_TRAIL_SHRINK=1;KF_EFFECT_HAZARD_RUNNING=0;KF_EFFECT_HAZARD_RELEASE_REQUEST=1;KF_EFFECT_HAZARD_RISE_FIRST=10;KF_EFFECT_SHORT_SWING_PHASE_LIMIT=40;KF_EFFECT_LONG_SWING_PHASE_LIMIT=60;KF_EFFECT_ORBIT_PHASE_LIMIT=40;KF_EFFECT_FIRE_BALL_IMPACT_END=5;KF_EFFECT_PROJECTILE_IMPACT_END=10;KF_EFFECT_MOONLIGHT_TRAVEL_LAST=10;KF_EFFECT_MOONLIGHT_TRAIL_EMIT_PHASE=2;KF_EFFECT_MOONLIGHT_IMPACT_FIRST=20;KF_EFFECT_MOONLIGHT_IMPACT_LAST=23;KF_EFFECT_RADIAL_BLAST_PHASE_END=13;KF_EFFECT_HOMING_INITIAL_PHASE_LAST=4;KF_EFFECT_HOMING_TRACKING_PHASE=20;KF_EFFECT_LIGHTNING_IMPACT_PHASE_LAST=9;KF_EFFECT_LIGHTNING_IMPACT_EMIT_FIRST=3;KF_EFFECT_LIGHTNING_IMPACT_EMIT_SECOND=5;KF_EFFECT_LIGHTNING_IMPACT_EMIT_LAST=7;KF_EFFECT_LIGHTNING_BLAST_PHASE_LAST=7;KF_EFFECT_GROUND_BRANCH_GROW_END=16;KF_EFFECT_GROUND_BRANCH_ROOT_HOLD_BASE=16;KF_EFFECT_GROUND_BRANCH_SIDE_HOLD_BASE=26;KF_EFFECT_GROUND_BRANCH_LEAF_HOLD_BASE=36;KF_EFFECT_GROUND_BRANCH_SHRINK_FIRST=48;KF_EFFECT_GROUND_BRANCH_PHASE_END=64;KF_EFFECT_GROUND_VISUAL_SHRINK_FIRST=4;KF_EFFECT_GROUND_VISUAL_PHASE_END=8;KF_EFFECT_ACTOR_SPAWNER_TRAVEL_FIRST=17;KF_EFFECT_ACTOR_SPAWNER_TRAVEL_LAST=40;KF_EFFECT_ACTOR_SPAWNER_WAIT_FIRST=117;KF_EFFECT_ACTOR_SPAWNER_CREATE_PHASE=132;KF_EFFECT_ACTOR_SPAWNER_SHRINK_FIRST=149;KF_EFFECT_ACTOR_SPAWNER_PHASE_END=165	retain	include/kf/game_effect.h:KfEffectPhase		One phase enum already serves the effect family; equal per-kind phase markers retain their transition meaning within that domain.
include/kf/game_effect.h:KF_EFFECT_EMERGE_Y_STEP	KF_EFFECT_EMERGE_Y_STEP=175;KF_EFFECT_EMERGE_DEPTH=3500;KF_EFFECT_ORBIT_CENTER_SHIFT=8	retain	include/kf/game_effect.h:KF_EFFECT_EMERGE_Y_STEP		Emerging depth/step and orbit-center representation are distinct quantities, already shared where the same update/constructor needs them.
include/kf/game_effect.h:KF_EFFECT_SWING_PROBE_SHORT	KF_EFFECT_SWING_PROBE_SHORT=0;KF_EFFECT_SWING_PROBE_LONG=1;KF_EFFECT_SWING_PROBE_COUNT=2	retain	include/kf/game_effect.h:KF_EFFECT_SWING_PROBE_SHORT		Short/long swing probe rows index the probe-length table; they are not the effect kind codes for the two hazards.
include/kf/game_effect.h:KfEffectSoundRequest	KF_EFFECT_SOUND_SILENT=0;KF_EFFECT_SOUND_PLAY=1	retain	include/kf/game_effect.h:KfEffectSoundRequest		Sound request controls whether effect construction plays a sound; it is independent of the audio playback outcome.
include/kf/game_equipment.h:KfEquipmentSlot	KF_EQUIPMENT_SLOT_HEAD=0;KF_EQUIPMENT_SLOT_BODY=1;KF_EQUIPMENT_SLOT_ARM=2;KF_EQUIPMENT_SLOT_LEG=3;KF_EQUIPMENT_SLOT_SHIELD=4;KF_EQUIPMENT_SLOT_ACCESSORY=5;KF_EQUIPMENT_SLOT_REFRESH_ONLY=255	retain	include/kf/game_equipment.h:KfEquipmentSlot		Equipment record slots differ from menu category order (menu includes weapon/magic and places shield earlier).
include/kf/game_equipment.h:KF_WEAPON_ATTACK_CUTTING	KF_WEAPON_ATTACK_CUTTING=0;KF_WEAPON_ATTACK_STRIKING=1;KF_WEAPON_ATTACK_PIERCING=2;KF_WEAPON_ATTACK_HOLY=3;KF_WEAPON_ATTACK_FIRE=4;KF_WEAPON_ATTACK_COMPONENT_COUNT=5	reuse	include/kf/combat.h:KF_COMBAT_COMPONENT_CUTTING	KF_WEAPON_ATTACK_CUTTING=include/kf/combat.h:KF_COMBAT_COMPONENT_CUTTING;KF_WEAPON_ATTACK_STRIKING=include/kf/combat.h:KF_COMBAT_COMPONENT_STRIKING;KF_WEAPON_ATTACK_PIERCING=include/kf/combat.h:KF_COMBAT_COMPONENT_PIERCING;KF_WEAPON_ATTACK_HOLY=include/kf/combat.h:KF_COMBAT_COMPONENT_HOLY;KF_WEAPON_ATTACK_FIRE=include/kf/combat.h:KF_COMBAT_COMPONENT_FIRE;KF_WEAPON_ATTACK_COMPONENT_COUNT=include/kf/combat.h:KF_COMBAT_COMPONENT_COUNT	Remove weapon-specific component aliases; the weapon array directly uses the common combat order/count.
include/kf/game_equipment.h:KF_WEAPON_RECORD_COUNT	KF_WEAPON_RECORD_COUNT=16;KF_ARMOR_RECORD_COUNT=42;KF_WEAPON_TABLE_WORD_COUNT=176;KF_ARMOR_TABLE_WORD_COUNT=294;KF_ARMOR_ITEM_FIRST=13;KF_WEAPON_ITEM_FIRST=0;KF_WEAPON_ITEM_END=13;KF_HEAD_ARMOR_ITEM_FIRST=13;KF_HEAD_ARMOR_ITEM_END=19;KF_BODY_ARMOR_ITEM_FIRST=19;KF_BODY_ARMOR_ITEM_END=26;KF_SHIELD_ITEM_FIRST=26;KF_SHIELD_ITEM_END=32;KF_ARM_ARMOR_ITEM_FIRST=32;KF_ARM_ARMOR_ITEM_END=35;KF_LEG_ARMOR_ITEM_FIRST=35;KF_LEG_ARMOR_ITEM_END=39;KF_ACCESSORY_ITEM_FIRST=48;KF_ACCESSORY_ITEM_END=52	reuse	include/kf/game_equipment.h:KF_WEAPON_RECORD_COUNT;include/kf/item.h:KfObjectId	KF_ARMOR_ITEM_FIRST=include/kf/item.h:KF_ITEM_IRON_MASK;KF_WEAPON_ITEM_FIRST=include/kf/item.h:KF_ITEM_SHORT_SWORD;KF_WEAPON_ITEM_END=include/kf/item.h:KF_ITEM_IRON_MASK;KF_HEAD_ARMOR_ITEM_FIRST=include/kf/item.h:KF_ITEM_IRON_MASK;KF_HEAD_ARMOR_ITEM_END=include/kf/item.h:KF_ITEM_BREASTPLATE;KF_BODY_ARMOR_ITEM_FIRST=include/kf/item.h:KF_ITEM_BREASTPLATE;KF_BODY_ARMOR_ITEM_END=include/kf/item.h:KF_ITEM_SMALL_SHIELD;KF_SHIELD_ITEM_FIRST=include/kf/item.h:KF_ITEM_SMALL_SHIELD;KF_SHIELD_ITEM_END=include/kf/item.h:KF_ITEM_GAUNTLET;KF_ARM_ARMOR_ITEM_FIRST=include/kf/item.h:KF_ITEM_GAUNTLET;KF_ARM_ARMOR_ITEM_END=include/kf/item.h:KF_ITEM_IRON_BOOTS;KF_LEG_ARMOR_ITEM_FIRST=include/kf/item.h:KF_ITEM_IRON_BOOTS;KF_LEG_ARMOR_ITEM_END=include/kf/item.h:KF_ITEM_GOLD_COIN;KF_ACCESSORY_ITEM_FIRST=include/kf/item.h:KF_ITEM_LIGHT_RING;KF_ACCESSORY_ITEM_END=include/kf/item.h:KF_ITEM_GOLD_CROSS	Use canonical item IDs directly for equipment range endpoints and armor indexing; keep actual table record/word counts with their owners.
include/kf/game_graphics.h:KF_FLOOR5_ACTOR_TEXTURE_COUNT	KF_FLOOR5_ACTOR_TEXTURE_COUNT=3;KF_PROJECTED_VERTEX_CAPACITY=1000;KF_MORPH_SCRATCH_CAPACITY=1001	reuse	include/kf/game_graphics.h:KF_FLOOR5_ACTOR_TEXTURE_COUNT;include/kf/render_types.h:KF_PROJECTED_VERTEX_CAPACITY	KF_PROJECTED_VERTEX_CAPACITY=include/kf/render_types.h:KF_PROJECTED_VERTEX_CAPACITY	Move the shared projected-vertex capacity to rendering types; morph scratch has its own extra-vector extent and texture count.
include/kf/game_map.h:MAP_INTERACTION_PROBE_DISTANCE	MAP_INTERACTION_PROBE_DISTANCE=1000;MAP_INTERACTION_RADIUS_PADDING=800;MAP_DOOR_FACING_TOLERANCE=341	retain	include/kf/game_map.h:MAP_INTERACTION_PROBE_DISTANCE		Interaction probe distance, radius padding and facing cone are distinct query parameters, even when another subsystem uses equal units.
include/kf/game_map.h:KF_MAP_OBJECT_DEFINITION_COUNT	KF_MAP_OBJECT_DEFINITION_COUNT=160;KF_MAP_OBJECT_DEFINITION_WORD_COUNT=320;KF_MAP_RESOURCE_PATH_BYTES=12;KF_MAP_OBJECT_CAPACITY=190;KF_MAP_CONTAINER_ITEM_COUNT=4;KF_MAP_OBJECT_EFFECT_FIRST=160;KF_MAP_EVENT_CAPACITY=8	retain	include/kf/game_map.h:KF_MAP_OBJECT_DEFINITION_COUNT		Definition records, runtime pool partitions, container items, path bytes and event capacity are separate storage dimensions.
include/kf/game_map.h:KF_MAP_SAVED_FLOOR_COUNT	KF_MAP_SAVED_FLOOR_COUNT=5;KF_MAP_SAVED_FLOOR_BYTES=1700;KF_MAP_SAVED_RECORDS_OFFSET=10;KF_MAP_SAVED_RECORD_BYTES=1690;KF_MAP_SAVED_WORLD_WORDS=2125;KF_MAP_SAVED_WORLD_BYTES=8500;KF_MAP_SAVED_YAW_SHIFT=4;KF_MAP_FLOOR3_REQUIRED_REVEALS=4	retain	include/kf/game_map.h:KF_MAP_SAVED_FLOOR_COUNT		Saved-floor prefix, record and word spans describe one serialized layout; floor-3 reveal progress is an independent script requirement.
include/kf/game_map.h:KfMapScriptFlag	KF_MAP_SCRIPT_UNSET=0;KF_MAP_SCRIPT_SET=1	retain	include/kf/game_map.h:KfMapScriptFlag		Per-floor script flags are saved progress facts; actor lifecycle, sequence activity and UI options are different state fields.
include/kf/game_map.h:KfMapAreaTriggerStage	KF_MAP_TRIGGER_AWAIT_ENTRY=0;KF_MAP_TRIGGER_AWAIT_EXIT=1;KF_MAP_TRIGGER_COMPLETE=2	retain	include/kf/game_map.h:KfMapAreaTriggerStage		Enter/exit/complete is a three-stage area trigger, not a Boolean saved script flag.
include/kf/game_map.h:KfMapObjectBehavior	KF_MAP_OBJECT_BEHAVIOR_HINGED_DOOR=0;KF_MAP_OBJECT_BEHAVIOR_HINGED_DOOR_PARTNER=1;KF_MAP_OBJECT_BEHAVIOR_LIFT_DOOR=2;KF_MAP_OBJECT_BEHAVIOR_03=3;KF_MAP_OBJECT_BEHAVIOR_HINGED_CONTAINER=8;KF_MAP_OBJECT_BEHAVIOR_ITEM_CONTAINER=9;KF_MAP_OBJECT_BEHAVIOR_COPY_REGION=10;KF_MAP_OBJECT_BEHAVIOR_RESTORE_POINT=11;KF_MAP_OBJECT_BEHAVIOR_REVEAL_MAP_PIECE=12;KF_MAP_OBJECT_BEHAVIOR_SCREEN_IMAGE=13;KF_MAP_OBJECT_BEHAVIOR_SAVE_POINT=14;KF_MAP_OBJECT_BEHAVIOR_ITEM_PICKUP=64;KF_MAP_OBJECT_BEHAVIOR_GOLD_PICKUP=65;KF_MAP_OBJECT_BEHAVIOR_EFFECT_SWITCH=83;KF_MAP_OBJECT_BEHAVIOR_NONE=255;KF_MAP_OBJECT_BEHAVIOR_HINGED_DOOR_END=2;KF_MAP_OBJECT_BEHAVIOR_LINK_TRIGGER_END=8;KF_MAP_OBJECT_BEHAVIOR_LINK_CLEAR_LAST=8	reuse	include/kf/game_map.h:KfMapObjectOperation	KF_MAP_OBJECT_BEHAVIOR_HINGED_DOOR=include/kf/game_map.h:KF_MAP_OBJECT_OP_HINGED_DOOR;KF_MAP_OBJECT_BEHAVIOR_HINGED_DOOR_PARTNER=include/kf/game_map.h:KF_MAP_OBJECT_OP_HINGED_DOOR_PARTNER;KF_MAP_OBJECT_BEHAVIOR_LIFT_DOOR=include/kf/game_map.h:KF_MAP_OBJECT_OP_LIFT_DOOR;KF_MAP_OBJECT_BEHAVIOR_03=include/kf/game_map.h:KF_MAP_OBJECT_OP_03;KF_MAP_OBJECT_BEHAVIOR_HINGED_CONTAINER=include/kf/game_map.h:KF_MAP_OBJECT_OP_HINGED_CONTAINER;KF_MAP_OBJECT_BEHAVIOR_ITEM_CONTAINER=include/kf/game_map.h:KF_MAP_OBJECT_OP_ITEM_CONTAINER;KF_MAP_OBJECT_BEHAVIOR_COPY_REGION=include/kf/game_map.h:KF_MAP_OBJECT_OP_COPY_REGION;KF_MAP_OBJECT_BEHAVIOR_RESTORE_POINT=include/kf/game_map.h:KF_MAP_OBJECT_OP_RESTORE_POINT;KF_MAP_OBJECT_BEHAVIOR_REVEAL_MAP_PIECE=include/kf/game_map.h:KF_MAP_OBJECT_OP_REVEAL_MAP_PIECE;KF_MAP_OBJECT_BEHAVIOR_SCREEN_IMAGE=include/kf/game_map.h:KF_MAP_OBJECT_OP_SCREEN_IMAGE;KF_MAP_OBJECT_BEHAVIOR_SAVE_POINT=include/kf/game_map.h:KF_MAP_OBJECT_OP_SAVE_POINT;KF_MAP_OBJECT_BEHAVIOR_ITEM_PICKUP=include/kf/game_map.h:KF_MAP_OBJECT_OP_ITEM_PICKUP;KF_MAP_OBJECT_BEHAVIOR_GOLD_PICKUP=include/kf/game_map.h:KF_MAP_OBJECT_OP_GOLD_PICKUP;KF_MAP_OBJECT_BEHAVIOR_EFFECT_SWITCH=include/kf/game_map.h:KF_MAP_OBJECT_OP_EFFECT_SWITCH;KF_MAP_OBJECT_BEHAVIOR_NONE=include/kf/game_map.h:KF_MAP_OBJECT_OP_NONE;KF_MAP_OBJECT_BEHAVIOR_HINGED_DOOR_END=include/kf/game_map.h:KF_MAP_OBJECT_OP_HINGED_DOOR_END;KF_MAP_OBJECT_BEHAVIOR_LINK_TRIGGER_END=include/kf/game_map.h:KF_MAP_OBJECT_OP_LINK_TRIGGER_END;KF_MAP_OBJECT_BEHAVIOR_LINK_CLEAR_LAST=include/kf/game_map.h:KF_MAP_OBJECT_OP_LINK_CLEAR_LAST	Merge definition behavior with runtime action into KfMapObjectOperation; door/link dispatch transports the encoding directly.
